row_id,county_code,state,population,renter_occupied_households,pct_renter_occupied,evictions,rent_burden,pct_white,pct_af_am,pct_hispanic,pct_am_ind,pct_asian,pct_nh_pi,pct_multiple,pct_other,poverty_rate,rucc,urban_influence,economic_typology,pct_civilian_labor,pct_unemployment,pct_uninsured_adults,pct_uninsured_children,pct_adult_obesity,pct_adult_smoking,pct_diabetes,pct_low_birthweight,pct_excessive_drinking,pct_physical_inactivity,air_pollution_particulate_matter_value,homicides_per_100k,motor_vehicle_crash_deaths_per_100k,heart_disease_mortality_per_100k,pop_per_dentist,pop_per_primary_care_physician,pct_female,pct_below_18_years_of_age,pct_aged_65_years_and_older,pct_adults_less_than_a_high_school_diploma,pct_adults_with_high_school_diploma,pct_adults_with_some_college,pct_adults_bachelors_or_higher,birth_rate_per_1k,death_rate_per_1k,gross_rent
0,8e686a7,fb8cab1,3876.0,408.0,24.583000000000002,27.0,18.38,0.9459448657614179,0.01076106831329996,0.026038388137845588,0.00568528121659023,0.0056353226821737965,0.0,0.005935073888672402,0.0,4.172,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.55,0.023,0.107,0.062,0.31,0.166,0.1,0.08,0.262,0.342,11.022907705415733,0.0,0.0,217,2730.0,1969.5,0.47100000000000003,0.218,0.19,0.08324974924774323,0.3279839518555667,0.3891675025075225,0.1995987963891675,10.00898242,9.7523418452,577
1,d1b5fc5,842bd12,10224.0,1166.0,28.346,3.0,26.694000000000003,0.8089593811995271,0.002284431797687514,0.1734264473077771,0.0018034987876480368,0.0014928962186642086,0.0,0.012033344688696072,0.0,7.7139999999999995,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Recreation,0.545,0.04,0.324,0.201,0.253,0.102,0.066,0.07,0.2,0.14800000000000002,9.904098593733565,0.0,18.26,181,2009.0,1690.0,0.47200000000000003,0.29,0.077,0.0990990990990991,0.20220220220220225,0.3023023023023023,0.3963963963963964,14.482892690999998,3.0132192846,844
2,19a463b,2b7da97,27023.0,2927.0,21.641,9.0,31.028000000000002,0.9566205911349872,0.0051407416349771645,0.013088267841693323,0.00472827508500835,0.004708154765497677,0.0,0.01480855515985594,0.0009054143779803225,9.789,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Recreation,0.508,0.063,0.129,0.032,0.29600000000000004,0.215,0.087,0.07,0.187,0.258,11.011502128073593,0.0,19.94,234,4650.0,1350.0,0.496,0.20800000000000002,0.192,0.1377245508982036,0.3872255489021956,0.2554890219560878,0.21956087824351295,9.6203464799,10.873571692,700
3,1711ab7,5029ed4,8735.0,1039.0,23.11,0.0,27.734,0.8948352697755849,0.0002984243195925513,0.07657568040744868,0.000994747731975171,0.004297310202132739,0.0,0.022998567563265952,0.0,13.735,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Nonspecialized,0.545,0.038,0.207,0.084,0.255,0.182,0.10400000000000001,0.081,0.16899999999999998,0.27399999999999997,12.84576984279824,0.0,30.31,231,4420.0,1749.0,0.503,0.193,0.215,0.07715430861723446,0.30861723446893785,0.3987975951903808,0.2154308617234469,9.3832246252,10.870809017000001,592
4,1eb4681,b795815,3681.0,365.0,21.985,2.0,19.673,0.9238858684868448,0.0004960514306123259,0.0428886066907417,0.0,0.013621572284614471,0.0,0.01690543275526807,0.0022024683519187268,8.217,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.474,0.034,0.177,0.075,0.324,0.11800000000000001,0.113,0.08,0.17800000000000002,0.34,11.565750072088461,0.0,0.0,270,2730.0,1249.0,0.516,0.222,0.23,0.09253731343283583,0.3621890547263682,0.34626865671641793,0.19900497512437812,9.5432856169,14.72392638,444
5,abf992b,4522abc,8540.0,751.0,22.543000000000003,0.0,34.937,0.5606369743717343,0.4175466533963673,0.0005971634735008707,0.0012938541925852202,0.0,0.0,0.01992535456581239,0.0,21.051,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Mining-dependent,0.361,0.11,0.24600000000000002,0.1,0.322,0.0,0.14800000000000002,0.129,0.0,0.317,12.822858846189135,0.0,39.16,388,2730.0,8770.0,0.515,0.19899999999999998,0.185,0.317,0.38799999999999996,0.198,0.09699999999999999,10.456273764,14.13973384,531
6,279f041,4522abc,22712.0,1901.0,24.601999999999997,19.0,29.241999999999997,0.9297985428196044,0.005563960664092049,0.03941553529482024,0.0023888203208981963,0.0051061034359198955,0.0,0.01623402476410399,0.0014930127005613727,9.651,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Recreation,0.47,0.061,0.258,0.126,0.275,0.294,0.10800000000000001,0.07,0.299,0.231,13.395494408254708,0.0,26.49,254,2500.0,1489.0,0.494,0.218,0.162,0.14257228315054832,0.2871385842472582,0.292123629112662,0.2781655034895314,10.953480699000002,6.8184317607,976
7,83adc69,4c72956,27974.0,3873.0,38.012,49.0,29.965999999999998,0.5370837387557339,0.008489048630830637,0.39690025616076574,0.017047598244603748,0.02453384697869299,0.002472249250382256,0.013473261978990849,0.0,15.655,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Farm-dependent,0.462,0.106,0.297,0.11699999999999999,0.267,0.15,0.078,0.05,0.16899999999999998,0.188,8.035605698867622,0.0,20.63,239,1410.0,7030.0,0.49700000000000005,0.278,0.141,0.2490039840637451,0.2938247011952192,0.3077689243027889,0.14940239043824705,14.526718785999998,9.6606257939,725
8,f11285d,78e8330,2027.0,295.0,55.571999999999996,27.0,21.808000000000003,0.18489867400550414,0.0019814861145859394,0.010407805854390792,0.7493820365273957,0.0,0.016572429321991492,0.0367575681761321,0.0,36.12,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.353,0.077,0.316,0.086,0.42100000000000004,0.419,0.177,0.07,0.27399999999999997,0.384,10.904799319706335,0.0,0.0,511,670.0,1980.0,0.5,0.415,0.075,0.18145563310069796,0.4327018943170489,0.2911266201395813,0.09471585244267199,26.816187226,6.8259385666,533
9,e34c58f,9e0007d,17165.0,2223.0,29.769000000000002,27.0,28.664,0.961331987084004,0.009077186072317585,0.011856324539392787,0.002779138467075207,0.0007997520768561747,0.0,0.014055642750747268,9.996900960702183e-05,17.793,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.41,0.073,0.26899999999999996,0.063,0.379,0.163,0.124,0.081,0.0,0.327,12.563829583059714,0.0,39.48,345,4409.0,2859.0,0.51,0.223,0.19,0.17753259779338013,0.42527582748244735,0.2678034102306921,0.12938816449348045,11.687320139,15.32859576,531
10,3cc65a1,e74aca3,963541.0,191320.0,50.31100000000001,6749.0,32.229,0.5285365756109267,0.26328840539135306,0.14123305203375594,0.004929408470983482,0.03737551493820741,9.998800143982724e-05,0.023437187537495498,0.0010998680158380994,17.115,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.504,0.069,0.17800000000000002,0.04,0.316,0.20800000000000002,0.1,0.091,0.214,0.249,12.193995413112182,11.32,7.1400000000000015,271,1519.0,1330.0,0.515,0.247,0.11800000000000001,0.1347305389221557,0.2824351297405189,0.2934131736526946,0.2894211576846307,14.594268672,8.5249923977,806
11,170b0b3,fb8cab1,2352.0,277.0,25.94,27.0,21.171999999999997,0.9658581663172329,0.012410695654766045,0.0038653007283458705,0.009409870924790587,0.002086666202963066,0.0,0.00636930017190155,0.0,4.165,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.519,0.024,0.135,0.077,0.303,0.157,0.098,0.08,0.179,0.32,10.116450040869218,0.0,0.0,243,2400.0,1969.5,0.494,0.177,0.275,0.11741293532338308,0.3771144278606965,0.3253731343283582,0.18009950248756215,7.8125,17.795138889,406
12,0921795,1b0d913,7218.0,823.0,26.178,3.0,30.468000000000004,0.428117886665868,0.058903398426580426,0.4934008226508527,0.0007986901481570227,0.0007887065213050598,0.0,0.015814064933509047,0.0021764306537278865,16.538,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Mining-dependent,0.484,0.043,0.271,0.12300000000000001,0.301,0.0,0.11800000000000001,0.08,0.0,0.29100000000000004,8.690780883851891,0.0,23.8,293,3689.0,1969.5,0.49700000000000005,0.233,0.20199999999999999,0.19919919919919926,0.3623623623623624,0.3413413413413414,0.09709709709709713,11.608850040999998,13.657470636,645
13,7516a19,485e9af,244240.0,21112.0,22.737,512.0,31.793000000000003,0.795075988449356,0.11630579230823035,0.051937930276476064,0.0037269811452723288,0.015257641310538462,9.991906555689893e-05,0.01477802979586535,0.002817717648704549,8.758,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.467,0.057,0.20600000000000002,0.054000000000000006,0.29,0.204,0.10400000000000001,0.08,0.2,0.24600000000000002,11.85743884911382,3.39,18.44,251,1329.0,1320.0,0.516,0.248,0.138,0.11530815109343935,0.2693836978131213,0.3101391650099404,0.30516898608349896,12.242733692,8.6067646222,984
14,5c62775,4cd9667,17882.0,1898.0,25.901999999999997,27.0,23.006999999999998,0.7409537335226932,0.0048206748944852286,0.1609325305542776,0.01010141419798772,0.06653931550417058,0.00090012601764247,0.011181565419158684,0.004570639889584543,4.138999999999999,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.473,0.042,0.055,0.028999999999999998,0.185,0.094,0.068,0.1,0.114,0.154,9.773509719570548,0.0,0.0,148,1010.0,580.0,0.496,0.233,0.157,0.02994011976047904,0.10778443113772457,0.21956087824351295,0.6427145708582834,10.257855432000001,6.3125264196,931
15,acba287,4522abc,991145.0,195220.0,47.798,4190.0,30.316999999999997,0.4039983549166926,0.4353652787112177,0.07675717968522737,0.001905889197620648,0.06255328966506506,0.00030092987330852333,0.016801917926392556,0.0023171600244756303,12.915999999999999,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.517,0.071,0.271,0.095,0.23,0.133,0.08,0.111,0.179,0.19699999999999998,13.188571510137107,12.8,10.52,256,1610.0,1030.0,0.512,0.23399999999999999,0.096,0.09072781655034894,0.18045862412761712,0.2352941176470588,0.493519441674975,12.632217769,6.101172038,1001
16,802a8ff,1646cf6,1218942.0,198288.0,35.131,3434.0,28.559,0.7956408998528278,0.1293313176416407,0.0184215532172642,0.001011183084208524,0.03234784698096773,0.0002002342741006978,0.0214350790424797,0.0016118859065106176,9.043,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.52,0.053,0.125,0.039,0.275,0.192,0.092,0.08,0.191,0.249,14.09340675589431,6.63,7.37,278,1230.0,929.0,0.519,0.19399999999999998,0.16899999999999998,0.06633165829145729,0.2984924623115578,0.2592964824120603,0.3758793969849246,10.830001415,10.762694030999999,780
17,d5b0571,1646cf6,87762.0,11465.0,29.449,112.0,32.547,0.939076005961252,0.0231892697466468,0.012896174863387979,0.0016989567809239945,0.011117734724292104,0.0002980625931445604,0.011227024341778441,0.0004967709885742674,9.458,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Mining-dependent,0.49700000000000005,0.061,0.14300000000000002,0.069,0.29600000000000004,0.174,0.098,0.07,0.157,0.263,13.63801962904467,0.0,17.21,253,2919.0,1890.0,0.507,0.183,0.161,0.11422845691382764,0.4398797595190381,0.22144288577154309,0.2244488977955912,9.9851587333,10.178493242,694
18,51afca9,20d32fc,41839.0,3341.0,20.694000000000003,110.0,26.951999999999998,0.8489570319137241,0.06517675985247524,0.06374748878072184,0.0034982159098859585,0.004107904968466082,0.0,0.012413669028795316,0.002098929545931575,8.205,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.47600000000000003,0.059000000000000004,0.19699999999999998,0.08,0.282,0.225,0.11900000000000001,0.081,0.12300000000000001,0.26,12.55677142297851,2.94,19.44,225,3480.0,2590.0,0.512,0.228,0.18,0.14855433698903284,0.3190428713858424,0.29012961116650043,0.2422731804586241,9.4919511635,10.168222493,674
19,148eadd,1646cf6,17479.0,1801.0,22.804000000000002,12.0,30.329,0.9689578934788672,0.0052483766880452535,0.011064414611799384,0.0017726964904593073,0.0034955981356809933,0.000199179380950484,0.007658447197546109,0.0016033940166513961,11.567,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Recreation,0.442,0.07400000000000001,0.158,0.077,0.318,0.179,0.11199999999999999,0.08,0.18100000000000002,0.273,12.833888529340324,0.0,16.14,242,3550.0,1929.0,0.496,0.214,0.204,0.12248995983935745,0.4799196787148594,0.2399598393574297,0.1576305220883534,10.098095788,12.060011541,609
20,58d1c1f,a952566,33020.0,4079.0,29.230999999999998,114.0,27.552,0.6091306255984681,0.2863070539419087,0.08761570379827642,0.003959862751356527,0.0013864506862432176,0.0,0.01130106926268752,0.0002992339610596872,12.208,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.49200000000000005,0.067,0.239,0.107,0.35600000000000004,0.214,0.129,0.1,0.152,0.307,12.025203556178742,7.66,30.94,272,3750.0,2219.0,0.51,0.212,0.19899999999999998,0.19740777666999,0.3988035892323031,0.2163509471585244,0.1874376869391824,11.508873948,12.296323218,733
21,802cc0d,8036085,7816.0,970.0,25.596,5.0,23.750999999999998,0.9432715183006344,0.006121778600651,0.029872288748867725,0.004867560545883478,0.0004977055772886992,0.002717472451996298,0.012651675774678732,0.0,6.412999999999999,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Recreation,0.546,0.046,0.284,0.19399999999999998,0.22899999999999998,0.128,0.077,0.08,0.2,0.289,10.651340810924886,0.0,37.35,206,7890.0,1529.0,0.48700000000000004,0.166,0.231,0.058467741935483875,0.3608870967741936,0.3175403225806452,0.26310483870967744,6.5810697464,9.290921995,691
22,93660a5,9dda412,10111.0,920.0,21.095,3.0,28.268,0.908087129189482,0.004633251098140682,0.04100728082315422,0.023878291914876545,0.005916922398058446,0.0,0.016477124576288183,0.0,7.7139999999999995,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Farm-dependent,0.544,0.042,0.115,0.07200000000000001,0.251,0.29600000000000004,0.094,0.05,0.245,0.21100000000000002,13.025903901039165,0.0,23.3,206,2079.0,1280.0,0.49,0.23,0.19399999999999998,0.09547738693467336,0.36683417085427134,0.3748743718592965,0.1628140703517588,10.40943789,10.607712897999999,578
23,ee532a9,5086a32,2318272.0,465328.0,56.318000000000005,27.0,33.998000000000005,0.2632957977478649,0.17425045502730166,0.2794767686061164,0.0022001320079204755,0.23997439846390786,0.00040002400144008646,0.021621297277836668,0.018781126867612057,12.270999999999999,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.494,0.064,0.25,0.057999999999999996,0.228,0.132,0.09300000000000001,0.08,0.146,0.27699999999999997,10.76742604891214,3.49,5.07,254,1439.0,1519.0,0.513,0.207,0.131,0.1968031968031968,0.2727272727272727,0.2277722277722277,0.30269730269730266,13.138188196,6.0818600847000015,1367
24,0a4702d,e899d7f,13429.0,1034.0,18.362000000000002,10.0,32.843,0.5578093508670404,0.4306766707241633,0.0035918823458982686,9.977450960828528e-05,0.0,0.0,0.00772254704368128,9.977450960828528e-05,16.789,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.33799999999999997,0.09,0.22,0.064,0.391,0.201,0.174,0.11900000000000001,0.0,0.37799999999999995,12.797011662818976,0.0,44.97,355,2289.0,2719.0,0.521,0.21899999999999997,0.195,0.23523523523523526,0.3703703703703704,0.2772772772772773,0.11711711711711713,10.639094927999999,13.261407058,497
25,3566a99,158df01,537958.0,76931.0,33.949,3192.0,29.999000000000002,0.7875631689944691,0.14093151884127172,0.01835382595201146,0.0018801480243523933,0.02535712864589551,0.0001989574628944332,0.024531455174883608,0.0011837969042218773,10.724,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.49700000000000005,0.059000000000000004,0.16899999999999998,0.062,0.29100000000000004,0.188,0.105,0.09,0.182,0.248,13.540788877722619,4.07,6.57,272,1720.0,1059.0,0.521,0.22,0.154,0.09027081243731194,0.3219658976930793,0.283851554663992,0.3039117352056169,11.425978329000001,10.103339249,744
